HOSTNAME,TIME,NET,MEM,CPU
host-10-9-3-168,1432704914,2383116,492972,0.06
mosix1.curs.pub.ro,1432704944,3050304,794936,0.01
host-10-9-3-167,1432704943,2832892,288288,0.00
host-10-9-3-168,1432704945,2383120,492856,0.04
mosix1.curs.pub.ro,1432704975,3050308,794888,0.00
host-10-9-3-167,1432704975,2832892,288304,0.00
host-10-9-3-168,1432704976,2383124,493104,0.02
mosix1.curs.pub.ro,1432704977,3050308,794772,0.00
host-10-9-3-167,1432704976,2832896,288660,0.00
host-10-9-3-168,1432704978,2383124,493096,0.34
