HOSTNAME,TIME,NET,MEM,CPU
host-10-9-3-168,1432688852,2374944,481324,0.36
mosix1.curs.pub.ro,1432688852,2846004,509616,0.30
host-10-9-3-167,1432688852,2824984,367156,0.16
host-10-9-3-168,1432688853,2374948,480796,0.36
mosix1.curs.pub.ro,1432688853,2846008,509732,0.28
host-10-9-3-167,1432688853,2824988,367032,0.16
host-10-9-3-168,1432688880,2374952,480780,0.23
mosix1.curs.pub.ro,1432688880,2846008,509608,0.18
host-10-9-3-167,1432688879,2824988,367156,0.11
host-10-9-3-168,1432688881,2374956,482316,0.46
mosix1.curs.pub.ro,1432688881,2846012,509888,0.18
host-10-9-3-167,1432688881,2824996,367156,0.42
host-10-9-3-168,1432688883,2374956,481308,0.46
mosix1.curs.pub.ro,1432688883,2846012,509864,0.18
host-10-9-3-167,1432688882,2824996,367412,0.42
host-10-9-3-168,1432688884,2374960,481308,0.46
mosix1.curs.pub.ro,1432688884,2846016,509880,0.33
host-10-9-3-167,1432688884,2825000,367420,0.42
host-10-9-3-168,1432688885,2374960,481556,0.42
mosix1.curs.pub.ro,1432688886,2846016,509980,0.33
host-10-9-3-167,1432688885,2825004,366900,0.38
host-10-9-3-168,1432688887,2374968,481060,0.42
mosix1.curs.pub.ro,1432688887,2846020,509856,0.33
host-10-9-3-167,1432688911,2825004,366248,0.25
host-10-9-3-168,1432688913,2374968,482324,0.28
mosix1.curs.pub.ro,1432688913,2846020,509972,0.20
host-10-9-3-167,1432688913,2825004,368420,0.25
host-10-9-3-168,1432688915,2374972,482432,0.28
mosix1.curs.pub.ro,1432688915,2846024,510096,0.20
host-10-9-3-167,1432688914,2825008,368428,0.25
host-10-9-3-168,1432688916,2374972,482432,0.33
mosix1.curs.pub.ro,1432688916,2846024,509972,0.20
host-10-9-3-167,1432688916,2825012,368304,0.47
host-10-9-3-168,1432688918,2374976,482324,0.33
mosix1.curs.pub.ro,1432688918,2846028,510096,0.20
host-10-9-3-167,1432688917,2825012,368420,0.47
host-10-9-3-168,1432688919,2374980,482572,0.33
mosix1.curs.pub.ro,1432688919,2846032,510368,0.34
host-10-9-3-167,1432688919,2825016,368412,0.47
host-10-9-3-168,1432688920,2374980,482572,0.31
mosix1.curs.pub.ro,1432688921,2846036,510096,0.34
host-10-9-3-167,1432688920,2825020,368560,0.44
host-10-9-3-168,1432688922,2374984,476736,0.31
mosix1.curs.pub.ro,1432688922,2846036,510244,0.34
host-10-9-3-167,1432688922,2825024,368568,0.44
host-10-9-3-168,1432688923,2374984,476976,0.31
mosix1.curs.pub.ro,1432688924,2846040,510468,0.32
host-10-9-3-167,1432688923,2825024,368412,0.44
host-10-9-3-168,1432688925,2374988,476992,0.31
mosix1.curs.pub.ro,1432688925,2846040,510352,0.32
host-10-9-3-167,1432688925,2825028,368552,0.40
host-10-9-3-168,1432688926,2374988,476984,0.60
mosix1.curs.pub.ro,1432688926,2846044,510352,0.32
host-10-9-3-167,1432688926,2825028,368676,0.40
host-10-9-3-168,1432688928,2374992,477108,0.60
mosix1.curs.pub.ro,1432688928,2846048,510244,0.37
host-10-9-3-167,1432688927,2825032,368660,0.40
host-10-9-3-168,1432688929,2374992,477116,0.60
mosix1.curs.pub.ro,1432688929,2846052,510352,0.37
host-10-9-3-167,1432688929,2825032,368660,0.40
host-10-9-3-168,1432688931,2374996,477100,0.56
mosix1.curs.pub.ro,1432688931,2846056,510476,0.37
host-10-9-3-167,1432688930,2825036,368784,0.37
host-10-9-3-168,1432688932,2374996,476992,0.56
mosix1.curs.pub.ro,1432688932,2846056,504524,0.37
host-10-9-3-167,1432688932,2825036,368700,0.37
host-10-9-3-168,1432688933,2375000,477100,0.56
mosix1.curs.pub.ro,1432688934,2846060,504772,0.34
host-10-9-3-167,1432688933,2825040,368660,0.37
host-10-9-3-168,1432688935,2375000,477108,0.67
mosix1.curs.pub.ro,1432688935,2846060,504896,0.34
host-10-9-3-167,1432688935,2825040,368784,0.34
host-10-9-3-168,1432688936,2375004,477356,0.67
mosix1.curs.pub.ro,1432688937,2846064,504912,0.34
host-10-9-3-167,1432688936,2825044,368800,0.34
host-10-9-3-168,1432688938,2375008,477224,0.67
mosix1.curs.pub.ro,1432688938,2846064,504912,0.63
host-10-9-3-167,1432688938,2825048,368660,0.34
host-10-9-3-168,1432688939,2375008,477232,0.67
mosix1.curs.pub.ro,1432688939,2846068,504796,0.63
host-10-9-3-167,1432688939,2825048,369056,0.34
host-10-9-3-168,1432688941,2375016,477364,0.62
mosix1.curs.pub.ro,1432688941,2846068,504904,0.63
host-10-9-3-167,1432688940,2825052,368908,0.31
host-10-9-3-168,1432688942,2375016,476464,0.62
mosix1.curs.pub.ro,1432688942,2846072,505156,0.63
host-10-9-3-167,1432688942,2825052,368924,0.31
host-10-9-3-168,1432688944,2375020,476348,0.62
mosix1.curs.pub.ro,1432688944,2846072,504984,0.58
host-10-9-3-167,1432688943,2825056,369040,0.31
host-10-9-3-168,1432688945,2375024,476720,0.73
mosix1.curs.pub.ro,1432688945,2846076,504992,0.58
host-10-9-3-167,1432688945,2825056,368916,0.29
host-10-9-3-168,1432688946,2375024,476604,0.73
mosix1.curs.pub.ro,1432688947,2846076,505232,0.58
host-10-9-3-167,1432688946,2825060,369180,0.29
host-10-9-3-168,1432688948,2375028,476588,0.73
mosix1.curs.pub.ro,1432688948,2846080,505240,0.86
host-10-9-3-167,1432688948,2825060,368908,0.29
host-10-9-3-168,1432688949,2375032,476208,0.73
mosix1.curs.pub.ro,1432688949,2846080,505264,0.86
host-10-9-3-167,1432688949,2825064,369040,0.29
host-10-9-3-168,1432688976,2375032,476152,0.44
mosix1.curs.pub.ro,1432688976,2846084,505208,0.56
host-10-9-3-167,1432688975,2825064,369040,0.17
host-10-9-3-168,1432688977,2375036,476604,0.44
mosix1.curs.pub.ro,1432688977,2846084,505340,0.56
host-10-9-3-167,1432688977,2825068,369148,0.17
host-10-9-3-168,1432688979,2375040,476744,0.44
mosix1.curs.pub.ro,1432688979,2846088,505488,0.68
host-10-9-3-167,1432688978,2825072,369156,0.17
host-10-9-3-168,1432688980,2375040,476836,0.97
mosix1.curs.pub.ro,1432688980,2846092,505356,0.68
host-10-9-3-167,1432688980,2825076,369032,0.16
host-10-9-3-168,1432688981,2375048,476720,0.97
mosix1.curs.pub.ro,1432688982,2846096,505480,0.68
host-10-9-3-167,1432688981,2825076,369280,0.16
host-10-9-3-168,1432688983,2375048,476348,0.97
mosix1.curs.pub.ro,1432688983,2846096,505604,0.95
host-10-9-3-167,1432688983,2825080,369164,0.16
host-10-9-3-168,1432689009,2375052,476316,0.64
mosix1.curs.pub.ro,1432689009,2846100,505488,0.62
host-10-9-3-167,1432689009,2825084,369288,0.11
host-10-9-3-168,1432689011,2375056,476852,0.59
mosix1.curs.pub.ro,1432689011,2846100,505744,0.62
host-10-9-3-167,1432689010,2825084,369280,0.10
host-10-9-3-168,1432689012,2375056,476960,0.59
mosix1.curs.pub.ro,1432689012,2846104,505488,0.62
host-10-9-3-167,1432689012,2825088,369196,0.10
host-10-9-3-168,1432689014,2375060,476976,0.59
mosix1.curs.pub.ro,1432689014,2846104,505744,0.57
host-10-9-3-167,1432689013,2825088,369280,0.10
host-10-9-3-168,1432689015,2375064,476968,0.78
mosix1.curs.pub.ro,1432689015,2846108,505892,0.57
host-10-9-3-167,1432689015,2825092,369404,0.25
host-10-9-3-168,1432689016,2375068,476572,0.78
mosix1.curs.pub.ro,1432689017,2846108,505736,0.57
host-10-9-3-167,1432689016,2825092,369288,0.25
host-10-9-3-168,1432689043,2375068,475928,0.51
mosix1.curs.pub.ro,1432689043,2846112,505852,0.43
host-10-9-3-167,1432689043,2825096,369280,0.16
host-10-9-3-168,1432689044,2375072,477860,0.51
mosix1.curs.pub.ro,1432689044,2846116,505976,0.43
host-10-9-3-167,1432689044,2825096,369552,0.16
host-10-9-3-168,1432689046,2375072,478108,0.47
mosix1.curs.pub.ro,1432689046,2846120,505860,0.43
host-10-9-3-167,1432689045,2825100,369536,0.15
host-10-9-3-168,1432689047,2375076,477976,0.47
mosix1.curs.pub.ro,1432689047,2846120,505976,0.43
host-10-9-3-167,1432689047,2825100,369404,0.15
host-10-9-3-168,1432689049,2375076,477844,0.47
mosix1.curs.pub.ro,1432689049,2846124,506100,0.39
host-10-9-3-167,1432689048,2825104,369544,0.15
host-10-9-3-168,1432689050,2375080,478100,0.67
mosix1.curs.pub.ro,1432689050,2846124,506116,0.39
host-10-9-3-167,1432689050,2825104,369412,0.14
host-10-9-3-168,1432689051,2375080,477984,0.67
mosix1.curs.pub.ro,1432689052,2846128,506100,0.39
